0 0
22176 834533
208544 7434730
207360 7434672
208320 7433801
208448 7430984
207840 7434984
208608 7435281
206880 7432440
207168 7432330
207968 7435475
304832 7430980
1171483 7424320
1158080 7427641
1133664 7429900
1177856 7428334
1148864 7432116
1127168 7431805
1178016 7428636
1157248 7430702
1159232 7431703
1528435 7170310
5118947 5185205
5129785 5131499
5144655 5173518
5117421 5131792
5090260 5127761
5109171 5135741
5145694 5196101
5119989 5125080
5175306 5215068
5109685 5152870
5114630 5081782
5129991 5117254
5106442 5073826
5125905 5097022
5145656 5117582
5090241 5054976
5128379 5116764
5135148 5108941
5087983 5063543
5101384 5072236
5182171 5113092
5128656 4996245
5181127 5136483
5148262 5135199
5130652 5005126
5180543 5121730
5131893 5096386
5166108 5140711
5153891 5080724
5269856 4979572
7335003 1127872
7426764 1172288
7432349 1150336
7426910 1142688
7423316 1159780
7431446 1185760
7246338 1128992
7160404 1133952
7427584 1219584
7011648 1272705
5203627 5253417
5212903 5237842
5200073 5212990
5223340 5254098
5227745 5241130
5214959 5241221
